country,country_long,name,capacity_mw,latitude,longitude,primary_fuel
IND,India,BOKARO A ''EXP'',500,23.6783,86.0888,Coal
IND,India,BOKARO B,210,23.785,85.88,Coal
IND,India,BONGAIGAON TPP,500,26.5145,90.5287,Coal
IND,India,BP Brahmanvel Wind Farm,40,21.2083,74.1543,Wind
IND,India,BRAMHAPURAM DG,60,9.9975,76.3744,Oil
IND,India,BSES Kerala CCGT,165,10.074,76.3188,Gas
IND,India,BUDGE BUDGE,750,22.4673,88.14,Coal
IND,India,BUDHIL,70,32.4584,76.532,Hydro
IND,India,BUTIBORI PLANT,81.5,20.9225,78.9535,Oil
IND,India,BUTIBORI TPP -II,600,20.9286,78.9333,Coal
IND,India,Bamani Solar Power Plant,1,18.0791,76.1807,Solar
IND,India,Bamanwali Solar Power Plant,1,28.3683,73.5286,Solar
IND,India,Bannari Amman Spinning Mills Wind Power Project,11.2,10.7389,77.416,Wind
IND,India,Bap - GIS 1-2 Solar Power Plant,15,27.3827,72.3188,Solar
IND,India,Bap - GIS 3 Solar Power Plant,10,27.3893,72.3134,Solar
IND,India,Bap - OPG Solar Power Plant,5,27.3525,72.3554,Solar
IND,India,Bap - Punj Lloyd Solar Power Plant,5,27.3851,72.3042,Solar
IND,India,Bapodar - Hiraco Solar Power Plant,20,21.5967,69.843,Solar
IND,India,Bapodar - MBEDL Solar Power Plant,15,21.6024,69.8441,Solar
IND,India,Bavadi Barsingha - Giriraj Solar Power Plant,36.3,27.4387,72.3245,Solar
IND,India,Bavadi Barsingha - LEPL Solar Power Plant,10,27.4523,72.3388,Solar
IND,India,Belagau Wind Farm,1,26.7272,70.8304,Wind
IND,India,Belagwi Wind Turbines,1.7,16.4961,74.5417,Wind
IND,India,Belgaum Gadag Wind Farm,24.8,15.4038,75.5625,Wind
IND,India,Belgaum Wind farm,50.4,15.9349,74.7007,Wind
IND,India,Bera Wind Farm,150,23.0544,68.8782,Wind
IND,India,Bhadrada Solar Power Plant,5,23.6688,71.5782,Solar
IND,India,Bhat Khedi Wind Farm,98.7,23.6756,75.0565,Wind
IND,India,Bhatkota Solar Power Plant,3,23.5594,73.286,Solar
IND,India,Bitta Solar Power Plant,40,23.2579,69.0255,Solar
IND,India,Boha Solar Power Plant,4.2,29.8504,75.49,Solar
IND,India,Bonada Solar Power Plant,1,26.5249,71.5212,Solar
IND,India,CHAKABURA TPP,60,22.3932,82.5532,Coal
IND,India,CHAMERA II,300,32.4734,76.2552,Hydro
IND,India,CHAMERA-I,540,32.5966,75.9857,Hydro
IND,India,CHAMERA-III,231,32.4733,76.44,Hydro
IND,India,CHANDA CEMENT WORKS,40,19.9213,79.1133,Coal
IND,India,CHANDERIA CEMENT WORKS,35,24.9293,74.6367,Coal
IND,India,CHANDERIA SMELTER,234,24.9637,74.6656,Coal
IND,India,CHANDRAPUR GUPTA,120,19.93,79.1346,Coal
IND,India,CHANDRAPUR MANIKGHAR,10,19.7218,79.1757,Coal
IND,India,CHANDRAPURA,630,23.7376,86.1273,Coal
IND,India,CHANDRAPUR_Coal,2920,20.0063,79.29,Coal
IND,India,CHANJU-I,36,32.7369,76.2477,Hydro
IND,India,CHEMBUKADAVU-II,3.75,11.4645,76.0376,Hydro
IND,India,CHENANI I to III,32.8,32.9578,75.1705,Hydro
IND,India,CHHABRA TPS,1660,24.6217,77.0357,Coal
IND,India,CHIBRO (YAMUNA),240,30.5559,77.7915,Hydro
IND,India,CHILLA,144,29.976,78.2203,Hydro
IND,India,CHUTAK,44,34.4903,76.1137,Hydro
IND,India,CHUZACHEN,110,27.2093,88.6659,Hydro
IND,India,CORE GREEN SUGAR,24,16.5471,77.0825,Biomass
IND,India,Chandrapur Solar Power Plant,5,20.0209,79.2712,Solar
IND,India,Charanka Solar Power Plant,221,23.907,71.1881,Solar
IND,India,Chhadavada Wind Farm,21,23.2443,70.4603,Wind
IND,India,Chingerbandh Solar Power Plant,5,20.6729,83.1107,Solar
IND,India,D.P.L.,660,23.5211,87.3023,Coal
IND,India,DADRI (NCTPP),1820,28.603,77.6078,Coal
IND,India,DADRI GT,816.4,28.5932,77.6101,Gas
IND,India,DAE RAJASTHAN,100,24.8747,75.6189,Nuclear
IND,India,DAHANU FRESNEL,100,26.7803,72.0091,Coal
IND,India,DAMODARAM SANJEEVAIAH,1600,14.3444,80.1264,Coal
IND,India,DANAPUR BMM,25,15.1707,76.377,Coal
IND,India,DAUND SUGAR,30,18.4271,74.6338,Biomass
IND,India,DAVANGERE MILL,24,14.3277,75.8808,Biomass
IND,India,DEHAR,990,31.4133,76.8686,Hydro
IND,India,DERANG,1200,21.1238,84.9843,Coal
IND,India,DGEN MEGA CCCP,1200,21.6923,72.6215,Gas
IND,India,DHAKRANI,33.75,30.4561,77.7368,Hydro
IND,India,DHALIPUR,51,30.4354,77.6821,Hydro
IND,India,DHANU,500,19.9545,72.7478,Coal
IND,India,DHARIWAL INF TPP,600,20.0102,79.2033,Coal
IND,India,DHAULI GANGA,280,29.8783,80.5727,Hydro
IND,India,DHOLPUR,330,26.7024,77.8492,Gas
IND,India,DHUVARAN CCPP,595.2,22.2396,72.752,Gas
IND,India,DIGHE WORKS,22,19.1896,73.004,Oil
IND,India,DIKCHU,96,27.4028,88.5247,Hydro
IND,India,DLF,15.5,24.8271,92.9737,Gas
IND,India,DNYANESHWAR MILL,12.96,19.4496,75.0382,Biomass
IND,India,DOLVI ISPAT,67.6,18.69,73.039,Oil
IND,India,DONKARAYI,25,17.8994,81.8296,Hydro
IND,India,DOYANG,75,26.2325,94.2612,Hydro
IND,India,DUDH GANGA,24,16.3537,74.0095,Hydro
IND,India,DUGGAVATHI MILL,22,14.6284,75.8448,Biomass
IND,India,DULHASTI,390,33.3691,75.7985,Hydro
IND,India,DURG SPONGE IRON,12.8,21.1878,81.2099,Coal
IND,India,DURGAPUR,210,23.531,87.25,Coal
IND,India,DURGAPUR STEEL TPS,1000,23.58,87.2043,Coal
IND,India,Dadri Solar Power Plant,5,28.5787,77.6314,Solar
IND,India,Dandeli Mill,20,15.2529,74.6283,Gas
IND,India,Deh Solar Power Plant,2,27.9253,72.8899,Solar
IND,India,Devgarh Wind Farm,37.5,23.964,74.6215,Wind
IND,India,Dhabla Sondhya Solar Power Plant,28.2,23.8267,75.8988,Solar
IND,India,Dhanera Solar Power Plant,25,24.5216,72.1999,Solar
IND,India,Dhank - Aravali Solar Power Plant,5,21.7766,70.0773,Solar
IND,India,Dhursar,125,26.7846,72.0083,Solar
IND,India,Diwakar,100,27.7355,71.6917,Solar
IND,India,Dugar Solar Power Plant,1,26.2776,72.651,Solar
IND,India,ELDARI,22.5,19.7197,76.733,Hydro
IND,India,EMCO Sonurle Wind Farm,9,16.8265,73.9269,Wind
IND,India,ESSAR GT IMP.,515,21.111,72.655,Gas
IND,India,Enercon Babarzar Wind Farm,11.2,22.1421,69.8442,Wind
IND,India,Enercon Chitradurga Wind Farm,68.8,13.7276,76.5137,Wind
IND,India,Enercon Sonoshi Wind Farm,20,19.6274,73.7839,Wind
IND,India,FARAKKA STPS,2100,24.772,87.894,Coal
IND,India,F_BAD CCGT,431.586,28.3452,77.3615,Gas
IND,India,Frost International Palankottai Wind Farm,4.25,9.1269,77.6458,Wind
IND,India,G.I.P.C.L. GT,310,22.3758,73.1017,Gas
IND,India,GACL Kutch Wind Farm,39,23.0272,69.9494,Wind
IND,India,GADEPAN WORKS,35,25.1521,76.182,Gas
IND,India,GAJ,10.5,32.2417,76.2787,Hydro
IND,India,GAMA CCPP  Module - 1,225,29.1411,78.9632,Gas
IND,India,GANDHAR GT,648,21.8242,73.1136,Gas
IND,India,GANDHARBAL,15,34.2236,74.7781,Hydro
IND,India,GANDHI NAGAR,630,25.2502,72.6765,Coal
IND,India,GANDHI SAGAR,115,24.6997,75.5529,Hydro
IND,India,GANGUWAL,77.65,31.268,76.492,Hydro
IND,India,GAUTAMI CCCP,468.57,17.0386,82.1286,Gas
IND,India,GEPL,120,19.9324,79.104,Coal
IND,India,GFL Gudhepanchgani,23.1,17.1309,73.9765,Wind
IND,India,GHANVI,22.5,31.5425,77.7786,Hydro
IND,India,GHAT PRABHA,32,16.1424,74.6447,Hydro
IND,India,GHATGHAR PSS,250,19.5334,73.6509,Hydro
IND,India,GHTP (LEH.MOH.),920,30.2666,75.1661,Coal
IND,India,GHUGUS LMEL,30,19.9306,79.12,Coal
IND,India,GIRI BATA,60,30.5307,77.4968,Hydro
IND,India,GIWPP Telagi,23.1,14.6534,75.8613,Wind
IND,India,GMR WARORA TPP,600,20.2723,78.9793,Coal
IND,India,GNDTP(BHATINDA),440,30.2335,74.9247,Coal
IND,India,GODAVARI GT,205.24,17.0587,82.3097,Gas
IND,India,GOINDWAL SAHIB TPP,540,31.3841,75.1464,Coal
IND,India,GRACE INDUSTRIES,25,20.0058,79.1845,Coal
IND,India,GREL CCPP (RAJAMUNDRY),768,16.9248,81.8111,Gas
IND,India,GULBARGA CEMENT,55,17.1084,77.1325,Coal
IND,India,GUMTI,15,23.4263,91.8223,Hydro
IND,India,Gadag Wind Farm,25.6,15.3418,75.5868,Wind
IND,India,Gadna 1 Solar Power Plant,3,27.4269,72.3896,Solar
IND,India,Gadna 2 Solar Power Plant,5,27.4296,72.3969,Solar
IND,India,Gandhinagar Solar Power Plant,1,23.1534,72.669,Solar
IND,India,Garacharma Solar Power Plant,5,11.6117,92.7109,Solar
IND,India,Godawari,50,27.6003,72.2241,Solar
IND,India,Godelai Solar Power Plant,1,26.6532,72.5377,Solar
IND,India,Gondri Solar Power Plant,5,18.3055,76.6551,Solar
IND,India,Gorsar Wind Farm,7.5,21.3131,69.9187,Wind
IND,India,Grewal Solar Power Plant,1.8,30.4613,74.6188,Solar
IND,India,Gulabpura Solar Power Plant,5,25.86,74.6567,Solar
IND,India,Gwal Pahari Solar Power Plant,3,28.4272,77.1596,Solar
IND,India,HALDIA,600,22.1042,88.1764,Coal
IND,India,HAMPI,36,15.2615,76.3379,Hydro
IND,India,HAPURI MILL,24,16.6038,74.4045,Biomass
IND,India,HASDEOBANGO,120,22.604,82.5977,Hydro
IND,India,HAVALGA SUGAR,25.5,17.1202,76.4004,Biomass
IND,India,HAZIRA CCCP,156.1,22.3256,69.7399,Gas
IND,India,HAZIRA-GSECL,351.43,21.1652,72.6613,Gas
IND,India,HINGOLI MILL,18.9,19.2829,77.1384,Biomass
IND,India,HIRAKUD I&II,331.5,21.5337,83.8754,Hydro
IND,India,HIRIYUR BIOMASS,25,13.9808,76.6279,Biomass
IND,India,HZL Gadag Wind Farm,34.4,15.3654,75.5639,Wind
IND,India,HZL Nandurbar Maharashtra,25.5,21.3027,74.3091,Wind
IND,India,HZL Palladum Wind Farm,21,10.8674,77.4588,Wind
IND,India,HZL Parewar Wind Farm,27.3,27.2492,70.6722,Wind
IND,India,HZL Samana Wind Farm,88.8,22.0335,70.2313,Wind
IND,India,H_GANJ B,605,28.0179,78.1326,Coal
IND,India,Hirewaddatti Wind Farm,49,15.1997,75.762,Wind
IND,India,Horti Solar Power Plant,20,17.9054,76.3224,Solar
IND,India,I.B.VALLEY,420,21.6872,83.86,Coal
IND,India,I.P.GT,270,28.6194,77.2504,Gas
IND,India,IDAMALAYAR,75,10.207,76.7137,Hydro
IND,India,IDUKKI,780,9.8503,77.0555,Hydro
IND,India,IEPL  BELA TPP,270,20.8102,79.0556,Coal
IND,India,IL&FS Kaladeh Wind Farm,24,22.8396,76.1906,Wind
IND,India,IND BARATH TPP,350,21.658,83.92,Coal
IND,India,INDIA POWER TPP(HALDIA  HIRANMAYE ),300,22.0774,88.0995,Coal
IND,India,INDIRA SAGAR,1000,22.2791,76.4728,Hydro
IND,India,INDRA GANDHI STPP,1500,28.4849,76.3754,Coal
IND,India,ITPCL TPP,1200,11.5214,79.7515,Coal
IND,India,Ingaleshwar Wind Farm,100.8,16.6208,76.0223,Wind
IND,India,Isanpur Solar Power Plant,1,22.4809,72.5235,Solar
IND,India,Itnal Solar Power Plant,3,16.4018,74.6641,Solar
IND,India,J.SAGAR,99,25.0369,75.6778,Hydro
IND,India,JAISALMER GODAWARI,50,27.601,72.2242,Biomass
IND,India,JALDHAKA I&II,36,27.0297,88.8747,Hydro
IND,India,JALLIPPA KAPURDI TPP,1080,25.8888,71.3236,Coal
IND,India,JAYKAYPURAM PLANT,66,24.6963,73.0017,Coal
IND,India,JAYPEE BELA CEMENT,63.5,24.5286,81.1698,Coal
IND,India,JAYPEE REWA CEMENT,54.5,24.565,81.1748,Coal
IND,India,JAYPEE SIDHI CEMENT,155,24.3272,81.3293,Coal
IND,India,JEGURUPADU GT,445.674,16.9312,81.86,Gas
IND,India,JOG,139.2,14.2273,74.7994,Hydro
IND,India,JOJBERA,427.5,22.7554,86.2491,Coal
IND,India,JORETHANG LOOP,96,27.1598,88.2924,Hydro
IND,India,JSW RATNAGIRI TPP,1200,17.297,73.212,Coal
IND,India,Jafrabad Solar Power Plant,15,20.8772,71.2801,Solar
IND,India,Jamuria Solar Power Plant,2,23.7162,87.0695,Solar
IND,India,Jangi Wind Farm,91.8,23.2409,70.509,Wind
IND,India,Jangi village wind farm,10.5,23.208,70.5465,Wind
IND,India,Jeloo Wind Farm,29.6,26.5255,72.7629,Wind
IND,India,Jodiya Wind Farm,33,22.7532,70.3961,Wind
IND,India,K.N. Ram Kaltek Wind Farm,10.25,21.2261,74.2393,Wind
IND,India,KADAMPARI,400,10.4104,77.0435,Hydro
IND,India,KADANA,240,23.3045,73.8254,Hydro
IND,India,KADRA,150,14.8901,74.3916,Hydro
IND,India,KAHALGAON,2340,25.2349,87.2635,Coal
IND,India,KAIGA,880,14.865,74.4385,Nuclear
IND,India,KAKATIYA TPP,1100,18.3835,79.8265,Coal
IND,India,KAKKAD,50,9.3275,76.9717,Hydro
IND,India,KAKRAPARA,440,21.2384,73.3489,Nuclear
IND,India,KALINADI,855,15.2761,74.5268,Hydro
IND,India,KALINADI SUPA,100,15.2761,74.5268,Hydro
IND,India,KALISINDH,1200,24.5295,76.0986,Coal
IND,India,KALLADA,15,8.9553,77.0697,Hydro
IND,India,KALLUR GRINDING,30,17.3821,77.4389,Coal
IND,India,KAMAL SPONGE,12,24.6266,80.831,Coal
IND,India,KAMALANGA,1050,20.87,85.2671,Coal
IND,India,KANHER,4,17.7384,73.917,Hydro
IND,India,KARAD MILL,16,17.1657,74.2459,Biomass
IND,India,KARAIKAL,32.5,10.9325,79.8216,Gas
IND,India,KARBI LANGPI,100,25.9552,92.5171,Hydro
IND,India,KARCHAM WANGTOO,1000,31.5156,78.1073,Hydro
IND,India,KARGIL,3.75,34.5605,76.1299,Hydro
IND,India,KARUPPUR GT,119.8,11.1208,79.5287,Gas
IND,India,KASAIPALLI,270,22.389,82.5549,Coal
IND,India,KASARGODE DG,21.84,12.4837,74.9929,Oil
IND,India,KASRAWAD FACTORY,10,22.1335,75.4568,Coal
IND,India,KATHALGURI GT,291,27.341,95.408,Gas
IND,India,KAWAI TPP,1320,24.7773,76.737,Coal
IND,India,KAWAS GT,645,21.175,72.6879,Gas
IND,India,KAYAM KULAM GT,350,9.2404,76.4283,Gas
IND,India,KCSF SANGUR,18,14.7753,75.3131,Biomass
IND,India,KHADAVASLA I&II,16,18.3803,73.6116,Hydro
IND,India,KHAMBERKHERA IPP,90,28.017,80.8307,Coal
IND,India,KHANDONG,50,25.5177,92.6679,Hydro
IND,India,KHARA,72,30.3508,77.6017,Hydro
IND,India,KHATIMA,41.4,28.9232,80.0243,Hydro
IND,India,KHODRI,120,30.5085,77.8001,Hydro
IND,India,KHOPOLI,72,18.7817,73.3558,Hydro
IND,India,KHOPOLI WORKS,60,18.7712,73.259,Coal
IND,India,KISHENGANGA,330,34.649,74.7514,Hydro
IND,India,KM DODDI SUGAR,26,12.4806,77.0411,Biomass
IND,India,KODASALI,120,14.955,74.5904,Hydro
IND,India,KODAYAR-I&II,100,8.5319,77.3125,Hydro
IND,India,KODERMA,1000,24.3858,85.5517,Coal
IND,India,KOJIKODE DG,96,11.2054,75.8067,Oil
IND,India,KOLAGHAT,1260,22.4157,87.8713,Coal
IND,India,KOLDAM,800,31.382,76.8761,Hydro
IND,India,KOLHAPUR HEMARUS,20,16.0327,74.4583,Biomass
IND,India,KOLHAPUR KAGAL,20,16.589,74.2993,Biomass
IND,India,KOLHAPUR KUMBHI,17.5,16.689,74.1201,Biomass
IND,India,KOLLEGAL SUGAR,16,12.1056,76.7606,Biomass
IND,India,KONASEEMA CCCP,445,16.7346,81.8622,Gas
IND,India,KONDAPALLI GT,1458,16.64,80.5504,Gas
IND,India,KOPILI,225,25.5177,92.6679,Hydro
IND,India,KOPPA SUGAR,26,12.702,76.9787,Biomass
IND,India,KOPPAL HKMP,12,15.316,76.2507,Coal
IND,India,KORADI,2400,21.2414,79.096,Coal
IND,India,KORBA STPS,2600,22.3881,82.6858,Coal
IND,India,KORBA-EAST,890,22.3828,82.7188,Coal
IND,India,KORBA-WEST,1340,22.4118,82.6888,Coal
IND,India,KOSI,20,26.497,86.9549,Hydro
IND,India,KOTA,1240,25.1712,75.8171,Coal
IND,India,KOTA COMPLEX,125,25.1386,75.8883,Coal
IND,India,KOTESHWAR,400,30.2594,78.4971,Hydro
IND,India,KOTLA,77.65,31.268,76.492,Hydro
IND,India,KOVILKALAPPAL,107.88,10.5415,79.4507,Gas
IND,India,KOYNA COMPLEX,1956,17.4599,73.684,Hydro
IND,India,KS Oils Chinnakuyili Wind Farm,12,10.9328,77.0912,Wind
IND,India,KUDGI,2400,16.4994,75.8349,Coal
IND,India,KULHAL,30,30.4289,77.6296,Hydro
IND,India,KUNDAH I-V,555,11.2861,76.6511,Hydro
IND,India,KUNDANKULAM,2000,8.1691,77.1327,Nuclear
IND,India,KUNDARGI MILL,16.5,16.2651,75.5302,Biomass
IND,India,KUNDARKI TPP,90,27.0786,82.0841,Coal
IND,India,KUTCH LIG.,290,23.6626,68.7843,Coal
IND,India,KUTHUNGAL,21,9.9356,77.1068,Hydro
IND,India,KUTTALAM GT,101,11.076,79.57,Gas
IND,India,KUTTIADI,125,11.5484,75.8988,Hydro
IND,India,KUTTIYADI Add ext,100,11.5484,75.8988,Hydro
IND,India,KYMORE,50,24.0529,80.6144,Coal
IND,India,KYREDEMKULAI,60,25.7848,91.7895,Hydro
IND,India,K_GUDEM,720,17.6219,80.6936,Coal
IND,India,K_GUDEM NEW,1000,17.6219,80.6936,Coal
IND,India,K_KHEDA II,1340,21.2818,79.116,Coal
IND,India,Kaladonger Wind Farm,75.6,27.0931,70.9996,Wind
IND,India,Kamuthi Solar Power Plant,648,9.3381,78.3917,Solar
IND,India,Karmaria Solar Power Plant,15,23.35,70.388,Solar
IND,India,Karur Textile Park Wind Farm,6,8.3091,77.6191,Wind
IND,India,Kathauti 1 Solar Power Plant,5,27.224,74.2524,Solar
IND,India,Kathauti 2 Solar Power Plant,40,27.2089,74.2553,Solar
IND,India,Katol - Citra Solar Power Plant,2,21.317,78.6025,Solar
IND,India,Katol - Sepset Solar Power Plant,2,21.3174,78.6001,Solar
IND,India,Khadoda Solar Power Plant,10,23.443,73.2014,Solar
IND,India,Khandala Solar Power Plant,5.2,18.6051,75.0381,Solar
IND,India,Khetusar - Northern Solar Power Plant,20,27.3225,71.9951,Solar
IND,India,Khetusar - Suryauday Solar Power Plant,10,27.3247,71.991,Solar
IND,India,Khilchipur Solar Power Plant,25,24.0682,76.589,Solar
IND,India,Khirsara - Unity Solar Power Plant,5,23.3578,70.0548,Solar
IND,India,Khirsara - Welspun Solar Power Plant,15,23.3618,70.0536,Solar
IND,India,Khirwa Solar Power Plant,1,27.301,72.3236,Solar
IND,India,Khori Wind Farm,20.8,21.167,74.3272,Wind
IND,India,Kohinoor Wind Farm,24,26.6797,71.026,Wind
IND,India,Komal West Solar Power Plant,1,11.0118,79.5898,Solar
IND,India,Kosa Wind Farm,33,23.3183,68.6988,Wind
IND,India,Kottamangalam Wind Farm,56.25,10.6558,77.2471,Wind
IND,India,Kottathara Village Wind Farm,3,11.0951,76.6709,Wind
IND,India,Kudankulam,2000,8.1689,77.7126,Nuclear
IND,India,LAKHERI CEMENT PLANT,25,25.6732,76.1901,Coal
IND,India,LAKWA GT,142.2,27.0221,94.8833,Gas
IND,India,LALITPUR TPP,1980,24.7971,78.6463,Coal
IND,India,LARA,800,21.757,83.4573,Coal
IND,India,LARGI,126,31.7196,77.212,Hydro
IND,India,LIGANAMAKKI,55,14.1704,74.8388,Hydro
IND,India,LITL Uthumalai,10,8.9969,77.537,Wind
IND,India,LNJP Bahla Basti Wind Farm,20,26.5114,71.4974,Wind
IND,India,LODHIVALI,40,18.9002,73.2032,Oil
IND,India,LOKMANGAL SUGAR ETHANOL,31.5,17.4462,75.7161,Biomass
IND,India,LOKTAK,105,24.587,93.6696,Hydro
IND,India,LOWER JHELUM,105,34.2189,74.5281,Hydro
IND,India,LOWER JURALA,240,16.3125,77.7773,Hydro
IND,India,LOWER METTUR,120,11.6425,77.7583,Hydro
IND,India,LOWER PERIYAR,180,9.9624,76.957,Hydro
IND,India,LOWER SILERU,460,17.8608,81.6814,Hydro
IND,India,LTML Wind Energy Project in Tamil Nadu,9.7,9.087,77.6055,Wind
IND,India,Lakhewali Solar Power Plant,2.1,30.4368,74.3316,Solar
IND,India,Lakhmirwala Solar Power Plant,20,29.8509,75.4023,Solar
IND,India,Lallian Kalan Solar Power Plant,1,31.2496,75.4826,Solar
